-2.4298017990326393E-001 +4.7173649819021017E-023 +7.2632195932065879E-005 -1.2415237639984495E-004 +6.3429675093164576E-005 -1.4320427103019975E-005 +3.1797213567992088E-006
-1.9509032201612822E-001 -1.2157576217066507E-023 +4.8987927984320636E-005 -1.0957649779724698E-004 +7.0948983264400929E-005 -1.1613180943683128E-005 +3.9021140716180005E-006
-1.4673047445536164E-001 -1.2271197865254835E-022 +2.9239790479711113E-005 -9.8238824890360178E-005 +7.6430360599171574E-005 -1.1213266217876083E-005 +4.1997706060891853E-006
-9.8017140329560659E-002 -4.4393004850478459E-023 +1.4105090069452178E-005 -9.0032743095998547E-005 +7.9900771827061035E-005 -6.7529796384705476E-006 +5.1359486150962078E-006
-4.9067674327418008E-002 +3.8655020088188623E-023 +4.0664572769088676E-006 -8.4481757047812019E-005 +8.0475774356877195E-005 -5.7405782654781365E-006 +5.5059987265272968E-006
+6.1232339957367660E-017 +1.0670592383713315E-023 +4.1337429349192862E-008 -8.2530260677435744E-005 +8.1502654189096428E-005 -3.4242846243966661E-006 +6.1216330642829527E-006
+4.9067674327418133E-002 +3.2597208288091059E-023 +2.6652050681055857E-006 -8.3553320890144986E-005 +8.1275476689460959E-005 -6.2778806808655100E-006 +6.1948534638553085E-006
+9.8017140329560770E-002 -1.8820961451022816E-025 +1.1785393966355331E-005 -8.7825367151514724E-005 +7.9115374493410733E-005 -6.4504863190620091E-006 +5.3097798662909024E-006
+1.4673047445536175E-001 +1.0000445637149812E-022 +2.6613650546608703E-005 -9.5549521144460515E-005 +7.3859841796215361E-005 -9.6032664783893351E-006 +4.3948311076413930E-006
+1.9509032201612833E-001 +5.6341000210303915E-023 +4.6230723136220503E-005 -1.0659140954569010E-004 +6.8556139927675592E-005 -8.8668112295635415E-006 +3.3028752684465370E-006
+2.4298017990326404E-001 +4.2929246643010392E-023 +7.0037705697865725E-005 -1.2159057066673214E-004 +6.0606849420811678E-005 -1.2640702488953895E-005 +3.2097763984709887E-006
+2.9028467725446233E-001 +2.5396415139941752E-022 +9.7062487349068599E-005 -1.4013597505192592E-004 +5.4265161930940224E-005 -1.2173970072835957E-005 +3.0841386814821911E-006
+3.3688985339222011E-001 +1.0045906920814603E-022 +1.2669740604490478E-004 -1.6183788243738409E-004 +4.8446797936527477E-005 -1.6132652461751637E-005 +2.8746902146974487E-006
+3.8268343236508984E-001 -3.7029474109681049E-023 +1.5885718513801496E-004 -1.8720246750175462E-004 +4.1724865739539515E-005 -1.3759443368783339E-005 +2.3979609626645154E-006
+4.2755509343028220E-001 -2.6972368900118362E-023 +1.9347226446710873E-004 -2.1595419815549990E-004 +3.5188844137317083E-005 -1.4487811238746269E-005 +1.7653255204066174E-006
+4.7139673682599775E-001 +1.2607828871868276E-022 +2.2959886617403128E-004 -2.4879544769594949E-004 +3.1479531008231853E-005 -1.0655833183532781E-005 +2.1731566805650686E-006
+5.1410274419322166E-001 -8.8788053106160766E-023 +2.7047248685735110E-004 -2.8663749867292865E-004 +2.5541904810154469E-005 -9.2849781167150820E-006 +1.4022491738930102E-006
+5.5557023301960218E-001 +8.2285086390477263E-023 +3.1618823763436798E-004 -3.3033826067624991E-004 +2.4722553130331700E-005 -7.3691324246185985E-006 +1.6263847429921459E-006
+5.9569930449243336E-001 -2.4132492964963775E-022 +3.7033707318727258E-004 -3.8018342687958130E-004 +1.9916664304619652E-005 -7.5126860121082590E-006 +1.8441938739346790E-006
+6.3439328416364549E-001 +2.3590617311468367E-022 +4.3158792411891143E-004 -4.3825514833418491E-004 +1.1734378856436606E-005 -9.6403940084365455E-007 +2.7475653540627652E-006
+6.7155895484701844E-001 -9.7457759833345453E-023 +4.9993052134099435E-004 -5.0402905470028393E-004 +7.0035681556111647E-006 +2.1211249307284732E-006 +7.9428484218806421E-007
+7.0710678118654768E-001 +2.7650212912569809E-022 +5.7881431857762628E-004 -5.8170978158220805E-004 +1.7263220501231760E-006 +8.1002351893669292E-006 +7.8945116348727497E-007
+7.4095112535495933E-001 +2.7081248929106937E-022 +6.8177877136760756E-004 -6.7579670568298947E-004 -1.8038774536427405E-005 +1.3459668675341956E-005 +1.0119514623175511E-006
+7.7301045336273710E-001 +6.3533816324260402E-022 +8.1523509803636113E-004 -7.9004337596476262E-004 -4.4940119376387878E-005 +2.7665207171076010E-005 -5.8876289398132001E-007
+8.0320753148064505E-001 -6.7771614373746899E-022 +9.9022338832394498E-004 -9.3012728108408840E-004 -8.7594104255238166E-005 +2.8379106807477780E-005 +4.0710299925290992E-007
